"ngb","olympic_paralympic_panamerican","num_events_at_games","ncaa_sport","year","athlete_360","athlete_stipends","coaching_education","covid_athlete_assistance_fund","elite_athlete_health_insurance","high_performance_grants","high_performance_special_grants","national_medical_network","ngb_hpmo_covid_grants","operation_gold","paralympic_sport_development_grants","restricted_grants","sport_science_services","sports_medicine_clinics","facilities_chula_vista_california","facilities_colorado_springs_colorado","facilities_lake_placid_new_york","facilities_salt_lake_city_utah"
"US Squash","Manages the Pan American sport program",7,"No",2020,"0","0","0","0","353.8","0","0","0","32415","0","0","0","0","0","0","0","0","0"
"US Tennis Association","Manages both the Olympic and Paralympic sport programs",11,"Yes",2020,"1034.86","0","0","13956","21931.63","50000","0","0","0","0","0","0","23471.21","5556.63","36135","0","0","0"
"USA Archery","Manages both the Olympic and Paralympic sport programs",14,"No",2020,"27251.34","227799.95","8149.2","13956","133319.81","485684.87","0","0","40415","0","0","0","154886.15","70228.28","565271","0","0","0"
"USA Artistic Swimming","Manages the Olympic sport program",2,"No",2020,"0","14000","4853.75","5815","47485.07","83423.83","0","1675.09","36415","0","0","0","23411.64","653.72","0","0","0","0"
"USA Badminton","Manages both the Olympic and Paralympic sport programs",19,"No",2020,"0","10000","0","4652","4809.71","0","0","0","44415","0","0","0","0","0","0","0","0","0"
"USA Baseball","Manages the Olympic sport program",1,"Yes",2020,"0","0","0","0","0","0","0","0","32415","0","0","0","0","0","0","0","0","0"
"USA Basketball","Manages the Olympic sport program",4,"Yes",2020,"0","0","0","4652","0","1251000","0","0","32415","0","0","0","0","0","0","0","0","0"
"USA Bobsled & Skeleton","Manages the Olympic sport program",6,"No",2020,"91757.66","203400","24385","26749","161699.79","1818365.45","0","145962.88","32415","12500","0","30700","218091.61","538385.68","30294","0","626360","25000"
"USA Boxing","Manages the Olympic sport program",13,"No",2020,"63816.42","274000","0","11630","24895.19","788639.52","0","174687.35","32415","0","0","0","77145.22","276103.6","0","360215","0","0"
"USA Climbing","Manages the Olympic sport program",2,"No",2020,"0","0","2627.87","0","5807.61","292800","0","560.8","32415","0","0","0","71783.77","980.58","0","45","0","0"
"USA Curling","Manages both the Olympic and Paralympic sport programs",3,"No",2020,"72095.31","179350","4385","27912","109475.77","958453.62","86552","0","40415","0","40000","0","0","2147.94","0","0","0","0"
"USA Cycling","Manages the Olympic sport program",22,"No",2020,"39324.71","416875","4853.75","37216","190311.92","1761000","0","106309.22","32415","0","0","266158","288235.09","113467.23","185328","242670","0","0"
"USA Diving","Manages the Olympic sport program",8,"Yes",2020,"5864.21","292500","10777.21","15119","25723.14","675104.45","36000","14329.75","36415","5000","0","0","67792.48","22506.67","0","7110","0","0"
"USA Fencing","Manages both the Olympic and Paralympic sport programs",28,"Yes",2020,"34840.31","437550","1318.18","29075","304021.68","810683.75","0","27760.95","40415","0","0","0","86140.53","62336.94","0","33705","0","0"
"USA Field Hockey","Manages the Olympic sport program",2,"Yes (women only)",2020,"0","149999.04","4853.75","0","189313.53","575840","0","0","32415","0","0","0","8042.17","3128.52","92664","0","0","0"
"USA Golf","Manages the Olympic sport program",2,"Yes",2020,"0","0","0","0","0","0","0","0","32415","0","0","0","0","0","0","0","0","0"
"USA Gymnastics","Manages the Olympic sport program",18,"Yes",2020,"17592.63","762562.85","8770","65128","83326.26","2256000","0","42407.31","32415","0","0","0","121406.91","416887.02","0","116430","27820","0"
"USA Hockey","Manages both the Olympic and Paralympic sport programs",2,"Yes",2020,"689.91","612000","0","19771","211793.19","989293","0","149.17","40415","0","0","0","3097.72","2241.33","0","0","0","0"
"USA Judo","Manages both the Olympic and Paralympic sport programs",28,"No",2020,"3449.54","113250","0","24423","33411.75","430251.58","0","1621.62","44415","0","5000","0","81655.05","22926.92","0","15660","0","0"
"USA National Karate-Do Federation","Manages the Olympic sport program",8,"No",2020,"0","128863.64","3105.11","3489","7506.28","90476","0","0","32415","0","0","0","16977.9","466.94","0","0","0","0"
"USA Luge","Manages the Olympic sport program",4,"No",2020,"38979.76","160500","28770","3489","-2912.85","1253000","0","86821.51","32415","17500","0","0","93348.69","298890.44","0","0","501190","25000"
"USA Pentathlon","Manages the Olympic sport program",2,"No",2020,"2759.63","36000","0","11630","11526.69","0","0","2844.25","36415","0","0","0","47359.42","17510.38","0","66760","0","0"
"USA Racquetball","Manages the Pan American sport program",6,"No",2020,"0","0","0","0","27012.52","0","0","0","32415","0","0","0","0","653.72","0","0","0","0"
"USA Roller Sports","Manages the Pan American sport program",8,"No",2020,"0","0","0","0","16397.47","0","0","0","32415","0","0","0","0","0","0","0","0","0"
"USA Rugby","Manages the Olympic sport program",2,"Yes (women only)",2020,"97621.87","1093676","659.18","51172","260406.95","772324","125000","0","32415","0","0","0","138682.67","216895.19","974294","0","0","0"
"USA Shooting","Manages both the Olympic and Paralympic sport programs",28,"Yes",2020,"13453.19","327915.88","4385","32564","140157.23","924170.15","42000","13764.98","40415","0","0","0","177948.47","83162.61","0","183340","0","0"
"USA Softball","Manages the Olympic sport program",1,"Yes",2020,"0","172798.92","0","17445","33129.36","221942.4","0","1598","32415","0","0","0","30977.23","1354.14","12375","0","0","0"
"USA Swimming","Manages the Olympic sport program",37,"Yes",2020,"11728.42","2227865.11","659.14","89551","412286.43","1928495.3","0","17657.9","32415","0","0","0","296528.41","42538.54","0","62640","0","0"
"USA Table Tennis","Manages both the Olympic and Paralympic sport programs",36,"No",2020,"0","26000","0","6978","17950.29","122240","0","554.08","40415","0","0","0","0","0","0","0","0","0"
"USA Taekwondo","Manages both the Olympic and Paralympic sport programs",14,"No",2020,"5864.21","112000","2159.24","3489","145537.2","492128","70000","82528.53","40415","0","0","0","95547.69","49355.91","0","58755","0","0"
"USA Team Handball","Manages the Olympic sport program",2,"No",2020,"0","0","0","0","45479.31","0","0","21657.49","32415","0","0","0","0","29790.99","0","0","0","0"
"USA Track & Field","Manages the Olympic sport program",48,"Yes",2020,"115904.41","1695525","1127.85","266327","1091761.95","3745544.89","0","137919.31","32415","0","0","0","473634.76","321163.64","834294","19535","0","0"
"USA Triathlon","Manages both the Olympic and Paralympic sport programs",11,"Yes (women only)",2020,"8968.79","263400","13814.25","30238","272602.42","742398.88","0","53262.94","40415","0","50000","0","263694.57","172535.57","0","183705","0","0"
"USA Volleyball","Manages both the Olympic and Paralympic sport programs",6,"Yes",2020,"37254.99","1019750","18667.94","66291","991397.51","1800948","0","27282.85","40415","0","0","0","268520.26","32966.2","0","29160","0","0"
"USA Water Polo","Manages the Olympic sport program",2,"Yes",2020,"20697.22","763388","0","11630","143660.11","1016000","0","13309.86","32415","0","0","100000","270157.19","6723.98","0","13320","0","0"
"USA Water Ski & Wake Sports","Manages the Pan American sport program",10,"No",2020,"0","0","0","0","18332.68","0","0","0","32415","0","0","0","0","0","0","0","0","0"
"USA Weightlifting","Manages the Olympic sport program",14,"No",2020,"0","0","15290.8","6978","13633.45","149328","0","0","32415","0","0","0","0","653.72","0","0","0","0"
"USA Wrestling","Manages the Olympic sport program",18,"Yes",2020,"24836.66","382000","8149.2","37216","176641.41","1395282.58","90000","219589.31","32415","10000","0","0","222380.77","298516.88","0","237370","4320","0"
"US Rowing","Manages both the Olympic and Paralympic sport programs",18,"Yes (women only)",2020,"19317.4","836100","0","68617","547952.47","1652648.31","0","0","40415","0","0","0","53595.44","179633.11","453519","0","0","0"
